Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
90768_015B_S41_L001_R1_001	 77299	 2495	 71250	 3554	0.03	0.92	0.05	0.212	0.040	0.053
90768_015C_S73_L001_R1_001	119370	 3747	110564	 5059	0.03	0.93	0.04	0.244	0.055	0.038
90768_018A_S10_L001_R1_001	196076	 6265	186437	 3374	0.03	0.95	0.02	0.158	0.023	0.273
90768_018B_S42_L001_R1_001	121470	 3896	115799	 1775	0.03	0.95	0.01	0.103	0.019	0.222
90768_018C_S74_L001_R1_001	 73777	 2400	 70024	 1353	0.03	0.95	0.02	0.084	0.017	0.125
90768_027A_S11_L001_R1_001	199388	 6407	183753	 9228	0.03	0.92	0.05	0.374	0.057	0.074
90768_027B_S43_L001_R1_001	 51123	 1585	 47210	 2328	0.03	0.92	0.05	0.176	0.036	0.000
90768_027C_S75_L001_R1_001	201293	 6596	187769	 6928	0.03	0.93	0.03	0.286	0.042	0.100
90768_029A_S12_L001_R1_001	150960	 4588	138902	 7470	0.03	0.92	0.05	0.328	0.063	0.133
90768_029B_S44_L001_R1_001	 46596	 1450	 42285	 2861	0.03	0.91	0.06	0.197	0.038	0.278
90768_029C_S76_L001_R1_001	162986	 4951	150693	 7342	0.03	0.92	0.05	0.300	0.053	0.160
90768_034A_S13_L001_R1_001	374556	12217	357938	 4401	0.03	0.96	0.01	0.185	0.027	0.154
90768_034B_S45_L001_R1_001	 48486	 1632	 45911	  943	0.03	0.95	0.02	0.055	0.015	0.000
90768_034C_S77_L001_R1_001	 79436	 2516	 75915	 1005	0.03	0.96	0.01	0.076	0.013	0.000
90768_040A_S14_L001_R1_001	 69241	 2120	 62723	 4398	0.03	0.91	0.06	0.254	0.053	0.080
90768_040B_S46_L001_R1_001	 72811	 2700	 66671	 3440	0.04	0.92	0.05	0.317	0.050	0.042
90768_040C_S78_L001_R1_001	 70371	 2227	 63396	 4748	0.03	0.90	0.07	0.233	0.032	0.067
90768_042A_S15_L001_R1_001	 88936	 3130	 80418	 5388	0.04	0.90	0.06	0.305	0.046	0.045
90768_042B_S47_L001_R1_001	 54499	 1809	 49712	 2978	0.03	0.91	0.05	0.244	0.025	0.167
90768_042C_S79_L001_R1_001	 94679	 3140	 86668	 4871	0.03	0.92	0.05	0.244	0.029	0.214
90768_044A_S16_L001_R1_001	 90932	 2669	 76605	11658	0.03	0.84	0.13	0.420	0.069	0.182
90768_044B_S48_L001_R1_001	 65531	 1874	 55280	 8377	0.03	0.84	0.13	0.399	0.055	0.115
90768_044C_S80_L001_R1_001	 26766	  842	 23005	 2919	0.03	0.86	0.11	0.269	0.036	0.059
90768_054A_S17_L001_R1_001	177260	 5674	170298	 1288	0.03	0.96	0.01	0.092	0.017	0.000
90768_054B_S49_L001_R1_001	 53322	 1810	 51209	  303	0.03	0.96	0.01	0.023	0.000	  NaN
90768_054C_S81_L001_R1_001	 78157	 2638	 74888	  631	0.03	0.96	0.01	0.053	0.004	0.000
90768_055A_S18_L001_R1_001	151156	 4787	128279	18090	0.03	0.85	0.12	0.550	0.082	0.128
90768_055B_S50_L001_R1_001	 12459	  418	 10531	 1510	0.03	0.85	0.12	0.216	0.023	0.091
90768_055C_S82_L001_R1_001	 44006	 1543	 36746	 5717	0.04	0.84	0.13	0.393	0.069	0.030
90768_056A_S19_L001_R1_001	166991	 5340	158997	 2654	0.03	0.95	0.02	0.158	0.023	0.000
90768_056B_S51_L001_R1_001	 24918	  880	 23595	  443	0.04	0.95	0.02	0.048	0.002	0.000
90768_056C_S83_L001_R1_001	 81093	 2550	 77074	 1469	0.03	0.95	0.02	0.109	0.021	0.000
90768_057A_S20_L001_R1_001	243994	 7923	225339	10732	0.03	0.92	0.04	0.391	0.069	0.121
90768_057B_S52_L001_R1_001	 31103	 1004	 28735	 1364	0.03	0.92	0.04	0.130	0.025	0.083
90768_057C_S84_L001_R1_001	168947	 5577	154828	 8542	0.03	0.92	0.05	0.292	0.048	0.087
90768_061A_S21_L001_R1_001	146826	 4766	140779	 1281	0.03	0.96	0.01	0.107	0.021	0.100
90768_061B_S53_L001_R1_001	 46107	 1500	 44105	  502	0.03	0.96	0.01	0.044	0.011	0.000
90768_061C_S85_L001_R1_001	 48281	 1529	 46117	  635	0.03	0.96	0.01	0.059	0.015	0.000
90768_064A_S22_L001_R1_001	107852	 3444	100182	 4226	0.03	0.93	0.04	0.204	0.023	0.000
90768_064B_S54_L001_R1_001	 17199	  599	 16149	  451	0.03	0.94	0.03	0.095	0.011	0.000
90768_064C_S86_L001_R1_001	165827	 5388	155844	 4595	0.03	0.94	0.03	0.244	0.019	0.000
90768_067A_S23_L001_R1_001	196366	 6102	181280	 8984	0.03	0.92	0.05	0.340	0.055	0.077
90768_067B_S55_L001_R1_001	 47034	 1572	 43858	 1604	0.03	0.93	0.03	0.130	0.017	0.125
90768_067C_S87_L001_R1_001	 31719	 1117	 28988	 1614	0.04	0.91	0.05	0.147	0.023	0.091
90768_075A_S24_L001_R1_001	187869	 6155	168332	13382	0.03	0.90	0.07	0.458	0.059	0.036
90768_075B_S56_L001_R1_001	   292	   11	   275	    6	0.04	0.94	0.02	0.000	0.000	  NaN
90768_075C_S88_L001_R1_001	  4602	  213	  4123	  266	0.05	0.90	0.06	0.059	0.006	0.000
90768_076A_S25_L001_R1_001	242061	 8127	231146	 2788	0.03	0.95	0.01	0.191	0.038	0.111
90768_076B_S57_L001_R1_001	111571	 3643	106817	 1111	0.03	0.96	0.01	0.099	0.019	0.000
90768_076C_S89_L001_R1_001	 81905	 2852	 77708	 1345	0.03	0.95	0.02	0.101	0.019	0.111
90768_077A_S26_L001_R1_001	 49751	 1606	 47040	 1105	0.03	0.95	0.02	0.095	0.029	0.000
90768_077B_S58_L001_R1_001	 85913	 2675	 81840	 1398	0.03	0.95	0.02	0.088	0.019	0.000
90768_077C_S90_L001_R1_001	179884	 5525	171887	 2472	0.03	0.96	0.01	0.130	0.023	0.000
90768_078A_S27_L001_R1_001	 47629	 1606	 41518	 4505	0.03	0.87	0.09	0.319	0.053	0.080
90768_078B_S59_L001_R1_001	 53955	 1684	 48466	 3805	0.03	0.90	0.07	0.256	0.042	0.100
90768_078C_S91_L001_R1_001	253632	 8447	231057	14128	0.03	0.91	0.06	0.464	0.074	0.029
90768_083A_S28_L001_R1_001	 58947	 1905	 56514	  528	0.03	0.96	0.01	0.067	0.017	0.000
90768_083B_S60_L001_R1_001	 85586	 2754	 82421	  411	0.03	0.96	0.00	0.036	0.006	0.000
90768_083C_S92_L001_R1_001	242536	 8154	232772	 1610	0.03	0.96	0.01	0.120	0.017	0.125
90768_084A_S29_L001_R1_001	   232	   13	   210	    9	0.06	0.91	0.04	0.000	0.000	  NaN
90768_084B_S61_L001_R1_001	105828	 3393	100795	 1640	0.03	0.95	0.02	0.099	0.015	0.143
90768_084C_S93_L001_R1_001	213393	 7043	203076	 3274	0.03	0.95	0.02	0.204	0.038	0.111
90768_088A_S30_L001_R1_001	 13848	  514	 13125	  209	0.04	0.95	0.02	0.032	0.006	0.000
90768_088B_S62_L001_R1_001	 25699	  917	 24449	  333	0.04	0.95	0.01	0.040	0.011	0.200
90768_088C_S94_L001_R1_001	178639	 5785	170334	 2520	0.03	0.95	0.01	0.145	0.027	0.308
90768_090A_S31_L001_R1_001	 12852	  530	 12321	    1	0.04	0.96	0.00	0.000	0.000	  NaN
90768_090B_S63_L001_R1_001	 48181	 2237	 45827	  117	0.05	0.95	0.00	0.017	0.002	0.000
90768_090C_S95_L001_R1_001	291998	 9850	281447	  701	0.03	0.96	0.00	0.040	0.008	0.000
90768_104A_S32_L001_R1_001	 26341	  852	 25328	  161	0.03	0.96	0.01	0.015	0.002	0.000
90768_104B_S64_L001_R1_001	 29256	 1011	 28178	   67	0.03	0.96	0.00	0.015	0.002	0.000
90768_104C_S96_L001_R1_001	  1562	  733	   814	   15	0.47	0.52	0.01	0.004	0.002	0.000
