sample	GenotypeRate	Heterozygosity	conScore
77	52508_134_S173_L001_R1_001	0.196	0.024	0
78	52508_135_S174_L001_R1_001	0.034	0.006	0.333
79	52508_139_S175_L001_R1_001	0.242	0.03	0
80	52508_143_S176_L001_R1_001	0.3	0.054	0.111
81	52508_145_S177_L001_R1_001	0.646	0.106	0.226
82	52508_149_S178_L001_R1_001	0.32	0.05	0.04
83	52508_156_S179_L001_R1_001	0.4	0.076	0.105
84	52508_157_S180_L001_R1_001	0.436	0.052	0.192
85	52508_158_S181_L001_R1_001	0.212	0.03	0.2
86	52508_167_S182_L001_R1_001	0.022	0.002	0
87	52508_168_S183_L001_R1_001	0.052	0.01	0.2
88	52508_173_S184_L001_R1_001	0	0	NA
89	52508_174_S185_L001_R1_001	0.374	0.048	0.25
90	52508_176_S186_L001_R1_001	0.302	0.042	0.095
91	52508_179_S187_L001_R1_001	0.202	0.026	0.231
92	52508_182_S188_L001_R1_001	0.2	0.042	0.095
93	52508_183_S189_L001_R1_001	0.32	0.056	0.107
94	52508_189_S190_L001_R1_001	0.396	0.056	0.143
95	52508_201_S191_L001_R1_001	0.072	0.01	0.6
