Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52508_004_S35_L001_R1_001	171462	32696	134619	4147	0.19	0.79	0.02	0.172	0.036	0.056
CAT_52508_011_S132_L001_R1_001	43508	1561	21772	20175	0.04	0.5	0.46	0.512	0.062	0.129
CAT_52508_014_S133_L001_R1_001	70427	3699	62787	3941	0.05	0.89	0.06	0.156	0.016	0
CAT_52508_014_S37_L001_R1_001	105176	26033	76298	2845	0.25	0.73	0.03	0.27	0.038	0.053
CAT_52508_017_S134_L001_R1_001	56889	1953	32760	22176	0.03	0.58	0.39	0.45	0.06	0.167
CAT_52508_019_S135_L001_R1_001	85957	4169	75060	6728	0.05	0.87	0.08	0.186	0.032	0.188
CAT_52508_019_S39_L001_R1_001	110536	24566	81298	4672	0.22	0.74	0.04	0.338	0.058	0.103
CAT_52508_022_S136_L001_R1_001	76527	3814	69620	3093	0.05	0.91	0.04	0.064	0.016	0
CAT_52508_022_S40_L001_R1_001	123863	27881	94027	1955	0.23	0.76	0.02	0.158	0.028	0
CAT_52508_024_S137_L001_R1_001	80702	4120	69995	6587	0.05	0.87	0.08	0.168	0.026	0.077
CAT_52508_024_S41_L001_R1_001	108536	22308	82549	3679	0.21	0.76	0.03	0.254	0.038	0.053
CAT_52508_025_S138_L001_R1_001	60337	3150	49274	7913	0.05	0.82	0.13	0.278	0.052	0.154
CAT_52508_025_S42_L001_R1_001	102265	21331	76686	4248	0.21	0.75	0.04	0.282	0.05	0.04
CAT_52508_027_S139_L001_R1_001	73768	3859	58339	11570	0.05	0.79	0.16	0.34	0.06	0.033
CAT_52508_031_S140_L001_R1_001	77726	4096	64299	9331	0.05	0.83	0.12	0.272	0.032	0.062
CAT_52508_031_S44_L001_R1_001	132790	28293	98125	6372	0.21	0.74	0.05	0.418	0.054	0.037
CAT_52508_033_S141_L001_R1_001	196174	10012	162501	23661	0.05	0.83	0.12	0.332	0.058	0.172
CAT_52508_036_S142_L001_R1_001	65809	3029	47126	15654	0.05	0.72	0.24	0.376	0.074	0.243
CAT_52508_039_S143_L001_R1_001	102259	5011	87681	9567	0.05	0.86	0.09	0.17	0.024	0.083
CAT_52508_039_S47_L001_R1_001	120363	26604	87453	6306	0.22	0.73	0.05	0.282	0.042	0.048
CAT_52508_040_S144_L001_R1_001	84720	4397	71633	8690	0.05	0.85	0.1	0.262	0.046	0.043
CAT_52508_040_S48_L001_R1_001	115769	25092	84295	6382	0.22	0.73	0.06	0.484	0.074	0.027
CAT_52508_043_S145_L001_R1_001	68315	3628	57870	6817	0.05	0.85	0.1	0.252	0.05	0.04
CAT_52508_046_S146_L001_R1_001	69166	3788	57531	7847	0.05	0.83	0.11	0.278	0.044	0.045
CAT_52508_046_S50_L001_R1_001	109411	27419	76051	5941	0.25	0.7	0.05	0.498	0.084	0.048
CAT_52508_047_S147_L001_R1_001	65600	3534	56864	5202	0.05	0.87	0.08	0.21	0.034	0.059
CAT_52508_047_S51_L001_R1_001	130003	35181	90447	4375	0.27	0.7	0.03	0.424	0.072	0
CAT_52508_052_S148_L001_R1_001	133480	7151	101495	24834	0.05	0.76	0.19	0.488	0.068	0.176
CAT_52508_056_S149_L001_R1_001	61134	3088	53779	4267	0.05	0.88	0.07	0.206	0.036	0.111
CAT_52508_056_S53_L001_R1_001	118714	23745	90674	4295	0.2	0.76	0.04	0.404	0.05	0.04
CAT_52508_062_S150_L001_R1_001	91504	4787	78703	8014	0.05	0.86	0.09	0.226	0.03	0
CAT_52508_062_S54_L001_R1_001	116101	28190	82402	5509	0.24	0.71	0.05	0.444	0.072	0.028
CAT_52508_064_S151_L001_R1_001	117567	5951	105554	6062	0.05	0.9	0.05	0.152	0.016	0.25
CAT_52508_064_S55_L001_R1_001	127250	28304	95189	3757	0.22	0.75	0.03	0.286	0.046	0.043
CAT_52508_065_S152_L001_R1_001	74417	3986	60494	9937	0.05	0.81	0.13	0.34	0.056	0.036
CAT_52508_069_S153_L001_R1_001	107860	5482	83146	19232	0.05	0.77	0.18	0.402	0.064	0.094
CAT_52508_070_S154_L001_R1_001	66041	3529	55712	6800	0.05	0.84	0.1	0.238	0.036	0.222
CAT_52508_070_S58_L001_R1_001	99625	28183	65223	6219	0.28	0.65	0.06	0.532	0.096	0.042
CAT_52508_078_S155_L001_R1_001	176935	8851	150473	17611	0.05	0.85	0.1	0.316	0.038	0.105
CAT_52508_078_S59_L001_R1_001	172357	34038	126426	11893	0.2	0.73	0.07	0.576	0.078	0
CAT_52508_079_S156_L001_R1_001	68811	2918	48015	17878	0.04	0.7	0.26	0.44	0.05	0.08
CAT_52508_086_S157_L001_R1_001	118398	6057	107092	5249	0.05	0.9	0.04	0.096	0.008	0
CAT_52508_086_S61_L001_R1_001	137231	30925	103426	2880	0.23	0.75	0.02	0.15	0.018	0
CAT_52508_087_S158_L001_R1_001	63791	3182	51912	8697	0.05	0.81	0.14	0.274	0.048	0.125
CAT_52508_088_S159_L001_R1_001	102477	4305	70007	28165	0.04	0.68	0.27	0.436	0.078	0.128
CAT_52508_090_S160_L001_R1_001	65131	3170	48077	13884	0.05	0.74	0.21	0.36	0.062	0.129
CAT_52508_091_S161_L001_R1_001	78813	3891	73050	1872	0.05	0.93	0.02	0.04	0.01	0.2
CAT_52508_091_S65_L001_R1_001	171219	36504	131948	2767	0.21	0.77	0.02	0.306	0.06	0.167
CAT_52508_101_S162_L001_R1_001	112475	5835	102117	4523	0.05	0.91	0.04	0.084	0.01	0
CAT_52508_101_S66_L001_R1_001	119743	26313	90744	2686	0.22	0.76	0.02	0.22	0.032	0
CAT_52508_105_S163_L001_R1_001	78084	3975	57156	16953	0.05	0.73	0.22	0.42	0.062	0.161
CAT_52508_106_S164_L001_R1_001	77683	3963	61336	12384	0.05	0.79	0.16	0.38	0.06	0.167
CAT_52508_111_S165_L001_R1_001	105440	5492	93521	6427	0.05	0.89	0.06	0.144	0.022	0
CAT_52508_111_S69_L001_R1_001	103048	23613	76045	3390	0.23	0.74	0.03	0.2	0.032	0
CAT_52508_114_S166_L001_R1_001	111722	5894	102625	3203	0.05	0.92	0.03	0.062	0.008	0.25
CAT_52508_114_S70_L001_R1_001	144564	33466	109380	1718	0.23	0.76	0.01	0.108	0.024	0.083
CAT_52508_115_S167_L001_R1_001	103385	5486	89773	8126	0.05	0.87	0.08	0.228	0.04	0.1
CAT_52508_115_S71_L001_R1_001	121138	27769	87818	5551	0.23	0.72	0.05	0.424	0.072	0
CAT_52508_117_S168_L001_R1_001	48892	2473	44933	1486	0.05	0.92	0.03	0.042	0.006	0.333
CAT_52508_117_S72_L001_R1_001	140676	31052	108388	1236	0.22	0.77	0.01	0.128	0.018	0.111
CAT_52508_119_S169_L001_R1_001	94943	4820	78052	12071	0.05	0.82	0.13	0.358	0.06	0.033
CAT_52508_127_S170_L001_R1_001	71733	2887	46241	22605	0.04	0.64	0.32	0.48	0.082	0.073
CAT_52508_129_S171_L001_R1_001	66906	3393	57216	6297	0.05	0.86	0.09	0.206	0.032	0.062
CAT_52508_129_S75_L001_R1_001	156461	37221	111479	7761	0.24	0.71	0.05	0.512	0.088	0.045
CAT_52508_131_S172_L001_R1_001	87663	4873	70761	12029	0.06	0.81	0.14	0.356	0.06	0.133
CAT_52508_131_S76_L001_R1_001	151535	28284	113378	9873	0.19	0.75	0.07	0.57	0.088	0.068
CAT_52508_134_S173_L001_R1_001	81752	4363	70376	7013	0.05	0.86	0.09	0.234	0.03	0
CAT_52508_134_S77_L001_R1_001	104323	22928	76810	4585	0.22	0.74	0.04	0.346	0.05	0
CAT_52508_135_S174_L001_R1_001	61144	3088	56252	1804	0.05	0.92	0.03	0.048	0.006	0.333
CAT_52508_135_S78_L001_R1_001	87664	22216	64436	1012	0.25	0.74	0.01	0.064	0.014	0.143
CAT_52508_139_S175_L001_R1_001	71787	3761	60099	7927	0.05	0.84	0.11	0.304	0.042	0.095
CAT_52508_139_S79_L001_R1_001	126663	28355	89031	9277	0.22	0.7	0.07	0.648	0.096	0
CAT_52508_143_S176_L001_R1_001	61360	3002	48984	9374	0.05	0.8	0.15	0.356	0.056	0.179
CAT_52508_143_S80_L001_R1_001	107479	19200	79495	8784	0.18	0.74	0.08	0.538	0.09	0.089
CAT_52508_149_S178_L001_R1_001	29552	1303	19591	8658	0.04	0.66	0.29	0.376	0.06	0.067
CAT_52508_156_S179_L001_R1_001	110956	6038	84202	20716	0.05	0.76	0.19	0.46	0.082	0.171
CAT_52508_157_S180_L001_R1_001	323861	16053	250356	57452	0.05	0.77	0.18	0.476	0.06	0.3
CAT_52508_158_S181_L001_R1_001	120491	6224	102684	11583	0.05	0.85	0.1	0.25	0.04	0.15
CAT_52508_158_S85_L001_R1_001	141338	31298	102077	7963	0.22	0.72	0.06	0.456	0.054	0.111
CAT_52508_167_S182_L001_R1_001	96444	4476	87217	4751	0.05	0.9	0.05	0.026	0.002	0
CAT_52508_167_S86_L001_R1_001	135183	29739	103500	1944	0.22	0.77	0.01	0.024	0	NA
CAT_52508_168_S183_L001_R1_001	81029	4038	74669	2322	0.05	0.92	0.03	0.056	0.01	0.2
CAT_52508_168_S87_L001_R1_001	98183	22436	74163	1584	0.23	0.76	0.02	0.136	0.028	0.071
CAT_52508_173_S184_L001_R1_001	107641	6271	101337	33	0.06	0.94	0	0.002	0.002	0
CAT_52508_173_S88_L001_R1_001	119240	23222	87347	8671	0.19	0.73	0.07	0.654	0.098	0
CAT_52508_174_S185_L001_R1_001	82469	3860	59128	19481	0.05	0.72	0.24	0.436	0.058	0.31
CAT_52508_176_S186_L001_R1_001	67505	3502	51804	12199	0.05	0.77	0.18	0.39	0.05	0.24
CAT_52508_176_S90_L001_R1_001	83349	18418	53473	11458	0.22	0.64	0.14	0.65	0.086	0.093
CAT_52508_179_S187_L001_R1_001	100475	5153	87493	7829	0.05	0.87	0.08	0.242	0.038	0.053
CAT_52508_179_S91_L001_R1_001	109797	24351	80321	5125	0.22	0.73	0.05	0.414	0.058	0.034
CAT_52508_182_S188_L001_R1_001	204747	10618	179478	14651	0.05	0.88	0.07	0.232	0.046	0.13
CAT_52508_182_S92_L001_R1_001	145959	24296	114634	7029	0.17	0.79	0.05	0.296	0.056	0.107
CAT_52508_183_S189_L001_R1_001	76868	4067	59335	13466	0.05	0.77	0.18	0.38	0.062	0.097
CAT_52508_183_S93_L001_R1_001	99326	21840	65239	12247	0.22	0.66	0.12	0.65	0.098	0.082
CAT_52508_189_S190_L001_R1_001	125267	6849	95954	22464	0.05	0.77	0.18	0.464	0.066	0.091
CAT_52508_189_S94_L001_R1_001	109191	17783	77639	13769	0.16	0.71	0.13	0.584	0.084	0.024
CAT_52508_201_S191_L001_R1_001	158214	8250	144229	5735	0.05	0.91	0.04	0.106	0.018	0.444
CAT_52508_201_S95_L001_R1_001	129386	24252	102335	2799	0.19	0.79	0.02	0.15	0.024	0.25
