Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y	GenotypeRate	Heterozygosity	conScore
90768_040_S14_L001_R1_001	 53268	14061	37748	 1459	0.26	0.71	0.03	0.334	0.055	0.038	0.334	0.055	0.038	0.334	0.055	0.038
90768_042_S15_L001_R1_001	 64405	17430	45760	 1215	0.27	0.71	0.02	0.357	0.059	0.036	0.357	0.059	0.036	0.357	0.059	0.036
90768_044_S16_L001_R1_001	 82527	19174	56103	 7250	0.23	0.68	0.09	0.756	0.118	0.036	0.756	0.118	0.036	0.756	0.118	0.036
90768_054_S17_L001_R1_001	 75740	19009	56045	  686	0.25	0.74	0.01	0.141	0.032	0.000	0.141	0.032	0.000	0.141	0.032	0.000
90768_055_S18_L001_R1_001	 63125	15298	44740	 3087	0.24	0.71	0.05	0.658	0.092	0.000	0.658	0.092	0.000	0.658	0.092	0.000
90768_056_S19_L001_R1_001	 34027	 8070	25791	  166	0.24	0.76	0.00	0.023	0.002	0.000	0.023	0.002	0.000	0.023	0.002	0.000
90768_057_S20_L001_R1_001	 63013	16557	45617	  839	0.26	0.72	0.01	0.221	0.048	0.000	0.221	0.048	0.000	0.221	0.048	0.000
90768_061_S21_L001_R1_001	 73389	18188	54995	  206	0.25	0.75	0.00	0.036	0.006	0.000	0.036	0.006	0.000	0.036	0.006	0.000
90768_064_S22_L001_R1_001	 57608	15210	41986	  412	0.26	0.73	0.01	0.090	0.013	0.000	0.090	0.013	0.000	0.090	0.013	0.000
90768_067_S23_L001_R1_001	 67947	17982	49161	  804	0.26	0.72	0.01	0.191	0.046	0.000	0.191	0.046	0.000	0.191	0.046	0.000
90768_075_S24_L001_R1_001	 93124	22167	68724	 2233	0.24	0.74	0.02	0.595	0.099	0.000	0.595	0.099	0.000	0.595	0.099	0.000
90768_076_S25_L001_R1_001	 85772	21006	63918	  848	0.24	0.75	0.01	0.218	0.063	0.033	0.218	0.063	0.033	0.218	0.063	0.033
90768_077_S26_L001_R1_001	 54690	14360	40074	  256	0.26	0.73	0.00	0.050	0.015	0.000	0.050	0.015	0.000	0.050	0.015	0.000
90768_078_S27_L001_R1_001	 77617	20754	55137	 1726	0.27	0.71	0.02	0.454	0.080	0.000	0.454	0.080	0.000	0.454	0.080	0.000
90768_083_S28_L001_R1_001	 59389	15637	43612	  140	0.26	0.73	0.00	0.025	0.006	0.000	0.025	0.006	0.000	0.025	0.006	0.000
90768_084_S29_L001_R1_001	 67854	17636	49854	  364	0.26	0.73	0.01	0.082	0.021	0.000	0.082	0.021	0.000	0.082	0.021	0.000
90768_088_S30_L001_R1_001	 71826	18870	52745	  211	0.26	0.73	0.00	0.046	0.015	0.000	0.046	0.015	0.000	0.046	0.015	0.000
90768_090_S31_L001_R1_001	 58294	15328	42947	   19	0.26	0.74	0.00	0.002	0.002	0.000	0.002	0.002	0.000	0.002	0.002	0.000
90768_104_S32_L001_R1_001	 59340	14806	44445	   89	0.25	0.75	0.00	0.015	0.004	0.000	0.015	0.004	0.000	0.015	0.004	0.000
90768_107_S33_L001_R1_001	 82268	19560	61764	  944	0.24	0.75	0.01	0.214	0.057	0.000	0.214	0.057	0.000	0.214	0.057	0.000
90768_109_S34_L001_R1_001	 74234	18070	51135	 5029	0.24	0.69	0.07	0.664	0.103	0.061	0.664	0.103	0.061	0.664	0.103	0.061
90768_114_S35_L001_R1_001	 49794	12591	37054	  149	0.25	0.74	0.00	0.023	0.008	0.000	0.023	0.008	0.000	0.023	0.008	0.000
90768_115_S36_L001_R1_001	 62882	15444	45623	 1815	0.25	0.73	0.03	0.429	0.055	0.000	0.429	0.055	0.000	0.429	0.055	0.000
90768_120_S37_L001_R1_001	 73161	18228	52688	 2245	0.25	0.72	0.03	0.534	0.092	0.000	0.534	0.092	0.000	0.534	0.092	0.000
90768_121_S38_L001_R1_001	 48011	12563	35228	  220	0.26	0.73	0.00	0.050	0.011	0.000	0.050	0.011	0.000	0.050	0.011	0.000
90768_127_S39_L001_R1_001	 64013	16427	44664	 2922	0.26	0.70	0.05	0.603	0.090	0.023	0.603	0.090	0.023	0.603	0.090	0.023
90768_130_S40_L001_R1_001	 78147	19326	56879	 1942	0.25	0.73	0.02	0.506	0.076	0.000	0.506	0.076	0.000	0.506	0.076	0.000
90768_133_S41_L001_R1_001	 73418	16990	50883	 5545	0.23	0.69	0.08	0.725	0.116	0.073	0.725	0.116	0.073	0.725	0.116	0.073
90768_137_S42_L001_R1_001	 53787	14427	38853	  507	0.27	0.72	0.01	0.120	0.025	0.000	0.120	0.025	0.000	0.120	0.025	0.000
90768_138_S43_L001_R1_001	 73930	19919	52669	 1342	0.27	0.71	0.02	0.279	0.061	0.034	0.279	0.061	0.034	0.279	0.061	0.034
90768_143_S44_L001_R1_001	 67778	18371	49399	    8	0.27	0.73	0.00	0.000	0.000	   NA	0.000	0.000	   NA	0.000	0.000	  NaN
90768_152_S45_L001_R1_001	 54352	14573	39616	  163	0.27	0.73	0.00	0.025	0.013	0.000	0.025	0.013	0.000	0.025	0.013	0.000
90768_155_S46_L001_R1_001	 49986	13520	36308	  158	0.27	0.73	0.00	0.029	0.019	0.000	0.029	0.019	0.000	0.029	0.019	0.000
90768_156_S47_L001_R1_001	 63320	16862	46255	  203	0.27	0.73	0.00	0.036	0.013	0.000	0.036	0.013	0.000	0.036	0.013	0.000
90768_160_S48_L001_R1_001	 43930	10689	31901	 1340	0.24	0.73	0.03	0.387	0.067	0.000	0.387	0.067	0.000	0.387	0.067	0.000
90768_161_S49_L001_R1_001	 86041	21324	62798	 1919	0.25	0.73	0.02	0.479	0.134	0.000	0.479	0.134	0.000	0.479	0.134	0.000
90768_165_S50_L001_R1_001	 60911	14475	41264	 5172	0.24	0.68	0.08	0.763	0.116	0.018	0.763	0.116	0.018	0.763	0.116	0.018
90768_178_S51_L001_R1_001	 67964	15024	44188	 8752	0.22	0.65	0.13	0.782	0.111	0.057	0.782	0.111	0.057	0.782	0.111	0.057
90768_183_S53_L001_R1_001	 67954	17041	48681	 2232	0.25	0.72	0.03	0.519	0.076	0.000	0.519	0.076	0.000	0.519	0.076	0.000
90768_184_S54_L001_R1_001	 58723	15868	42011	  844	0.27	0.72	0.01	0.227	0.053	0.000	0.227	0.053	0.000	0.227	0.053	0.000
90768_185_S55_L001_R1_001	 59490	15822	43318	  350	0.27	0.73	0.01	0.063	0.021	0.000	0.063	0.021	0.000	0.063	0.021	0.000
90768_186_S56_L001_R1_001	 65629	17195	47825	  609	0.26	0.73	0.01	0.166	0.038	0.000	0.166	0.038	0.000	0.166	0.038	0.000
90768_187_S57_L001_R1_001	100603	24128	74046	 2429	0.24	0.74	0.02	0.569	0.153	0.027	0.569	0.153	0.027	0.569	0.153	0.027
90768_189_S58_L001_R1_001	 91435	19432	70316	 1687	0.21	0.77	0.02	0.447	0.076	0.000	0.447	0.076	0.000	0.447	0.076	0.000
90768_191_S59_L001_R1_001	 65229	16808	48021	  400	0.26	0.74	0.01	0.088	0.021	0.000	0.088	0.021	0.000	0.088	0.021	0.000
90768_194_S60_L001_R1_001	 75739	18715	56387	  637	0.25	0.74	0.01	0.170	0.029	0.000	0.170	0.029	0.000	0.170	0.029	0.000
90768_199_S63_L001_R1_001	 48160	12799	35191	  170	0.27	0.73	0.00	0.027	0.004	0.000	0.027	0.004	0.000	0.027	0.004	0.000
90768_200_S64_L001_R1_001	 59953	16469	41916	 1568	0.27	0.70	0.03	0.393	0.095	0.022	0.393	0.095	0.022	0.393	0.095	0.022
90768_204_S65_L001_R1_001	 51990	13033	34924	 4033	0.25	0.67	0.08	0.679	0.137	0.000	0.679	0.137	0.000	0.679	0.137	0.000
90768_207_S67_L001_R1_001	 61238	15388	41847	 4003	0.25	0.68	0.07	0.729	0.088	0.000	0.729	0.088	0.000	0.729	0.088	0.000
90768_211_S68_L001_R1_001	 64012	18174	44956	  882	0.28	0.70	0.01	0.244	0.048	0.000	0.244	0.048	0.000	0.244	0.048	0.000
90768_216_S69_L001_R1_001	 69435	17168	45521	 6746	0.25	0.66	0.10	0.786	0.120	0.000	0.786	0.120	0.000	0.786	0.120	0.000
90768_217_S70_L001_R1_001	 58241	14369	39106	 4766	0.25	0.67	0.08	0.723	0.109	0.058	0.723	0.109	0.058	0.723	0.109	0.058
90768_218_S71_L001_R1_001	 56785	16258	39367	 1160	0.29	0.69	0.02	0.334	0.061	0.000	0.334	0.061	0.000	0.334	0.061	0.000
90768_219_S72_L001_R1_001	 56701	13907	39806	 2988	0.25	0.70	0.05	0.502	0.065	0.000	0.502	0.065	0.000	0.502	0.065	0.000
90768_220_S73_L001_R1_001	 69092	15826	50728	 2538	0.23	0.73	0.04	0.557	0.118	0.036	0.557	0.118	0.036	0.557	0.118	0.036
90768_223_S75_L001_R1_001	 76892	18515	56550	 1827	0.24	0.74	0.02	0.485	0.065	0.000	0.485	0.065	0.000	0.485	0.065	0.000
90768_234_S76_L001_R1_001	 70271	17675	47760	 4836	0.25	0.68	0.07	0.782	0.097	0.022	0.782	0.097	0.022	0.782	0.097	0.022
90768_235_S77_L001_R1_001	 68741	16090	44626	 8025	0.23	0.65	0.12	0.790	0.063	0.067	0.790	0.063	0.067	0.790	0.063	0.067
90768_236_S78_L001_R1_001	 56193	15342	39448	 1403	0.27	0.70	0.02	0.366	0.059	0.000	0.366	0.059	0.000	0.366	0.059	0.000
90768_237_S79_L001_R1_001	 53995	14670	38770	  555	0.27	0.72	0.01	0.139	0.019	0.000	0.139	0.019	0.000	0.139	0.019	0.000
90768_238_S80_L001_R1_001	 60019	15522	42912	 1585	0.26	0.71	0.03	0.435	0.092	0.000	0.435	0.092	0.000	0.435	0.092	0.000
90768_240_S81_L001_R1_001	 54510	12715	38850	 2945	0.23	0.71	0.05	0.628	0.116	0.036	0.628	0.116	0.036	0.628	0.116	0.036
90768_244_S82_L001_R1_001	 65689	17880	46630	 1179	0.27	0.71	0.02	0.250	0.032	0.067	0.250	0.032	0.067	0.250	0.032	0.067
90768_245_S83_L001_R1_001	 59674	16211	41385	 2078	0.27	0.69	0.03	0.366	0.048	0.000	0.366	0.048	0.000	0.366	0.048	0.000
90768_258_S84_L001_R1_001	 66009	17203	45044	 3762	0.26	0.68	0.06	0.664	0.088	0.000	0.664	0.088	0.000	0.664	0.088	0.000
90768_260_S85_L001_R1_001	 52070	15081	36512	  477	0.29	0.70	0.01	0.109	0.027	0.000	0.109	0.027	0.000	0.109	0.027	0.000
90768_263_S86_L001_R1_001	 52544	14689	37610	  245	0.28	0.72	0.00	0.044	0.008	0.000	0.044	0.008	0.000	0.044	0.008	0.000
90768_265_S87_L001_R1_001	 55891	15593	37894	 2404	0.28	0.68	0.04	0.578	0.090	0.000	0.578	0.090	0.000	0.578	0.090	0.000
90768_280_S88_L001_R1_001	 75879	21261	54414	  204	0.28	0.72	0.00	0.029	0.004	0.000	0.029	0.004	0.000	0.029	0.004	0.000
90768_283_S89_L001_R1_001	102560	24205	73880	 4475	0.24	0.72	0.04	0.672	0.097	0.000	0.672	0.097	0.000	0.672	0.097	0.000
90768_284_S90_L001_R1_001	 78488	20277	58018	  193	0.26	0.74	0.00	0.040	0.008	0.000	0.040	0.008	0.000	0.040	0.008	0.000
90768_292_S91_L001_R1_001	 79553	20404	59003	  146	0.26	0.74	0.00	0.017	0.011	0.000	0.017	0.011	0.000	0.017	0.011	0.000
90768_296_S92_L001_R1_001	 65521	16772	47301	 1448	0.26	0.72	0.02	0.298	0.050	0.000	0.298	0.050	0.000	0.298	0.050	0.000
90768_299_S93_L001_R1_001	 86767	20864	64796	 1107	0.24	0.75	0.01	0.328	0.076	0.000	0.328	0.076	0.000	0.328	0.076	0.000
90768_301_S94_L001_R1_001	 74331	19375	53362	 1594	0.26	0.72	0.02	0.422	0.078	0.000	0.422	0.078	0.000	0.422	0.078	0.000
90768_308_S95_L001_R1_001	 59573	14241	41374	 3958	0.24	0.69	0.07	0.721	0.149	0.014	0.721	0.149	0.014	0.721	0.149	0.014
