Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
68	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_002_S34_L001_R1_001	90781	28974	56270	5537	0.32	0.62	0.06	0.596	0.114	0.053
69	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_004_S131_L001_R1_001	79778	4088	71509	4181	0.05	0.9	0.05	0.106	0.018	0.222
70	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_004_S35_L001_R1_001	114796	29689	83869	1238	0.26	0.73	0.01	0.128	0.024	0
71	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_011_S132_L001_R1_001	25898	905	12930	12063	0.03	0.5	0.47	0.458	0.056	0.071
72	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_011_S36_L001_R1_001	830873	42847	71839	716187	0.05	0.09	0.86	0.952	0.148	0.297
73	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_014_S133_L001_R1_001	40980	2115	36538	2327	0.05	0.89	0.06	0.106	0.012	0
74	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_014_S37_L001_R1_001	75729	24449	50049	1231	0.32	0.66	0.02	0.226	0.032	0
75	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_017_S134_L001_R1_001	34121	1140	19568	13413	0.03	0.57	0.39	0.416	0.054	0.185
76	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_017_S38_L001_R1_001	384102	35060	127537	221505	0.09	0.33	0.58	0.828	0.12	0.183
77	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_019_S135_L001_R1_001	51684	2445	45125	4114	0.05	0.87	0.08	0.162	0.032	0.125
78	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_019_S39_L001_R1_001	76263	22842	51363	2058	0.3	0.67	0.03	0.31	0.05	0.04
79	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_022_S136_L001_R1_001	45287	2211	41259	1817	0.05	0.91	0.04	0.05	0.012	0
80	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_022_S40_L001_R1_001	92623	26278	65666	679	0.28	0.71	0.01	0.144	0.024	0
81	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S137_L001_R1_001	47907	2411	41516	3980	0.05	0.87	0.08	0.134	0.016	0.125
82	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S41_L001_R1_001	75741	20599	54070	1072	0.27	0.71	0.01	0.184	0.032	0
83	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S138_L001_R1_001	35374	1809	28915	4650	0.05	0.82	0.13	0.228	0.046	0.13
84	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S42_L001_R1_001	77302	19990	56327	985	0.26	0.73	0.01	0.15	0.042	0
85	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_027_S139_L001_R1_001	43711	2219	34604	6888	0.05	0.79	0.16	0.294	0.05	0
86	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_027_S43_L001_R1_001	108792	30425	68215	10152	0.28	0.63	0.09	0.656	0.108	0.093
87	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S140_L001_R1_001	45540	2368	37644	5528	0.05	0.83	0.12	0.24	0.03	0
88	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S44_L001_R1_001	100604	26565	71470	2569	0.26	0.71	0.03	0.384	0.05	0.04
89	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_033_S141_L001_R1_001	117689	5989	97361	14339	0.05	0.83	0.12	0.276	0.044	0.182
90	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_033_S45_L001_R1_001	89492	21965	59902	7625	0.25	0.67	0.09	0.594	0.106	0.057
91	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_036_S142_L001_R1_001	39228	1770	27980	9478	0.05	0.71	0.24	0.338	0.066	0.182
92	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_036_S46_L001_R1_001	138559	27392	50953	60214	0.2	0.37	0.43	0.738	0.15	0.147
93	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S143_L001_R1_001	61073	2894	52396	5783	0.05	0.86	0.09	0.14	0.018	0.111
94	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S47_L001_R1_001	79177	24487	52168	2522	0.31	0.66	0.03	0.258	0.04	0
95	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S144_L001_R1_001	49347	2484	41829	5034	0.05	0.85	0.1	0.206	0.032	0.062
96	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S48_L001_R1_001	80396	23179	54491	2726	0.29	0.68	0.03	0.46	0.068	0
97	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_043_S145_L001_R1_001	40160	2070	34094	3996	0.05	0.85	0.1	0.212	0.044	0.136
98	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_043_S49_L001_R1_001	72141	18566	46945	6630	0.26	0.65	0.09	0.64	0.114	0.053
99	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S146_L001_R1_001	40272	2136	33404	4732	0.05	0.83	0.12	0.246	0.038	0.053
100	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S50_L001_R1_001	80517	25767	51924	2826	0.32	0.64	0.04	0.47	0.076	0.026
101	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S147_L001_R1_001	39164	2068	33935	3161	0.05	0.87	0.08	0.166	0.026	0
102	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S51_L001_R1_001	103567	33715	67518	2334	0.33	0.65	0.02	0.406	0.064	0
103	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_052_S148_L001_R1_001	79029	4197	59971	14861	0.05	0.76	0.19	0.434	0.062	0.097
104	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_052_S52_L001_R1_001	151513	30672	97259	23582	0.2	0.64	0.16	0.79	0.13	0.046
105	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S149_L001_R1_001	36608	1819	32239	2550	0.05	0.88	0.07	0.162	0.03	0.2
106	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S53_L001_R1_001	94188	22476	69134	2578	0.24	0.73	0.03	0.374	0.046	0.043
107	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S150_L001_R1_001	54569	2827	46883	4859	0.05	0.86	0.09	0.19	0.028	0
108	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S54_L001_R1_001	79166	26230	50582	2354	0.33	0.64	0.03	0.412	0.064	0
109	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S151_L001_R1_001	70515	3491	63359	3665	0.05	0.9	0.05	0.13	0.012	0.333
110	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S55_L001_R1_001	80198	25844	52994	1360	0.32	0.66	0.02	0.248	0.042	0
111	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_065_S152_L001_R1_001	43389	2302	35223	5864	0.05	0.81	0.14	0.272	0.044	0
112	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_065_S56_L001_R1_001	101397	23577	65591	12229	0.23	0.65	0.12	0.746	0.108	0.093
113	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_069_S153_L001_R1_001	63861	3185	49170	11506	0.05	0.77	0.18	0.334	0.056	0.071
114	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_069_S57_L001_R1_001	122083	29633	70039	22411	0.24	0.57	0.18	0.79	0.122	0.066
115	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S154_L001_R1_001	38278	2005	32229	4044	0.05	0.84	0.11	0.196	0.034	0.235
116	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S58_L001_R1_001	71862	26659	41740	3463	0.37	0.58	0.05	0.52	0.098	0
117	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S155_L001_R1_001	104710	5200	88903	10607	0.05	0.85	0.1	0.268	0.036	0.056
118	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S59_L001_R1_001	100132	30387	64856	4889	0.3	0.65	0.05	0.568	0.08	0
119	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_079_S156_L001_R1_001	41355	1727	28737	10891	0.04	0.69	0.26	0.394	0.042	0.048
120	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_079_S60_L001_R1_001	242328	31668	107403	103257	0.13	0.44	0.43	0.842	0.1	0.16
121	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S157_L001_R1_001	69742	3543	63141	3058	0.05	0.91	0.04	0.072	0.006	0
122	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S61_L001_R1_001	88575	28411	59475	689	0.32	0.67	0.01	0.116	0.018	0
123	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_087_S158_L001_R1_001	37763	1871	30711	5181	0.05	0.81	0.14	0.248	0.042	0.095
124	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_087_S62_L001_R1_001	81031	23540	50057	7434	0.29	0.62	0.09	0.598	0.104	0.058
125	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_088_S159_L001_R1_001	60410	2511	41111	16788	0.04	0.68	0.28	0.39	0.074	0.081
126	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_088_S63_L001_R1_001	196990	27327	50029	119634	0.14	0.25	0.61	0.808	0.136	0.235
127	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_090_S160_L001_R1_001	38732	1799	28590	8343	0.05	0.74	0.22	0.316	0.05	0.12
128	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_090_S64_L001_R1_001	118028	24789	58442	34797	0.21	0.5	0.29	0.786	0.132	0.136
129	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S161_L001_R1_001	46550	2263	43144	1143	0.05	0.93	0.02	0.034	0.004	0.5
130	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S65_L001_R1_001	138956	34876	102042	2038	0.25	0.73	0.01	0.302	0.056	0.107
131	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S162_L001_R1_001	67132	3412	60927	2793	0.05	0.91	0.04	0.066	0.006	0
132	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S66_L001_R1_001	74400	23890	49554	956	0.32	0.67	0.01	0.206	0.032	0
133	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_105_S163_L001_R1_001	46532	2328	33967	10237	0.05	0.73	0.22	0.368	0.062	0.161
134	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_105_S67_L001_R1_001	95446	23474	44798	27174	0.25	0.47	0.28	0.782	0.11	0.091
135	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_106_S164_L001_R1_001	45553	2282	36041	7230	0.05	0.79	0.16	0.314	0.054	0.111
136	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_106_S68_L001_R1_001	83289	25153	45362	12774	0.3	0.54	0.15	0.75	0.114	0.053
137	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S165_L001_R1_001	61933	3167	55033	3733	0.05	0.89	0.06	0.104	0.016	0
138	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S69_L001_R1_001	59541	21288	37557	696	0.36	0.63	0.01	0.15	0.022	0
139	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S166_L001_R1_001	65858	3455	60473	1930	0.05	0.92	0.03	0.05	0.01	0.2
140	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S70_L001_R1_001	98700	31027	67228	445	0.31	0.68	0	0.092	0.022	0
141	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S167_L001_R1_001	61960	3300	53748	4912	0.05	0.87	0.08	0.186	0.024	0.083
142	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S71_L001_R1_001	79713	25583	51793	2337	0.32	0.65	0.03	0.404	0.068	0
143	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S168_L001_R1_001	29221	1449	26855	917	0.05	0.92	0.03	0.028	0.002	1
144	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S72_L001_R1_001	121005	30028	90310	667	0.25	0.75	0.01	0.122	0.018	0.111
145	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_119_S169_L001_R1_001	56731	2820	46612	7299	0.05	0.82	0.13	0.286	0.054	0.037
146	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_119_S73_L001_R1_001	104361	25081	68232	11048	0.24	0.65	0.11	0.71	0.114	0.018
147	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_127_S170_L001_R1_001	42783	1698	27424	13661	0.04	0.64	0.32	0.44	0.076	0.053
148	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_127_S74_L001_R1_001	448067	38790	66336	342941	0.09	0.15	0.77	0.852	0.122	0.295
149	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S171_L001_R1_001	39929	1934	34147	3848	0.05	0.86	0.1	0.164	0.024	0.083
150	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S75_L001_R1_001	129484	35762	88410	5312	0.28	0.68	0.04	0.486	0.08	0.025
151	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S172_L001_R1_001	51917	2808	41905	7204	0.05	0.81	0.14	0.294	0.05	0.12
152	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S76_L001_R1_001	115789	26219	84522	5048	0.23	0.73	0.04	0.54	0.084	0
153	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S173_L001_R1_001	48042	2584	41271	4187	0.05	0.86	0.09	0.196	0.024	0
154	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S77_L001_R1_001	70613	21149	47705	1759	0.3	0.68	0.02	0.292	0.046	0
