sample	GenotypeRate	Heterozygosity	conScore
52	52508_052_S52_L001_R1_001	0.79	0.13	0.046
53	52508_056_S53_L001_R1_001	0.374	0.046	0.043
54	52508_062_S54_L001_R1_001	0.412	0.064	0
55	52508_064_S55_L001_R1_001	0.248	0.042	0
56	52508_065_S56_L001_R1_001	0.746	0.108	0.093
57	52508_069_S57_L001_R1_001	0.79	0.122	0.066
58	52508_070_S58_L001_R1_001	0.52	0.098	0
59	52508_078_S59_L001_R1_001	0.568	0.08	0
60	52508_079_S60_L001_R1_001	0.842	0.1	0.16
61	52508_086_S61_L001_R1_001	0.116	0.018	0
62	52508_087_S62_L001_R1_001	0.598	0.104	0.058
63	52508_088_S63_L001_R1_001	0.808	0.136	0.235
64	52508_090_S64_L001_R1_001	0.786	0.132	0.136
65	52508_091_S65_L001_R1_001	0.302	0.056	0.107
66	52508_101_S66_L001_R1_001	0.206	0.032	0
67	52508_105_S67_L001_R1_001	0.782	0.11	0.091
68	52508_106_S68_L001_R1_001	0.75	0.114	0.053
69	52508_111_S69_L001_R1_001	0.15	0.022	0
70	52508_114_S70_L001_R1_001	0.092	0.022	0
71	52508_115_S71_L001_R1_001	0.404	0.068	0
72	52508_117_S72_L001_R1_001	0.122	0.018	0.111
73	52508_119_S73_L001_R1_001	0.71	0.114	0.018
74	52508_127_S74_L001_R1_001	0.852	0.122	0.295
75	52508_129_S75_L001_R1_001	0.486	0.08	0.025
76	52508_131_S76_L001_R1_001	0.54	0.084	0
77	52508_134_S77_L001_R1_001	0.292	0.046	0
78	52508_135_S78_L001_R1_001	0.056	0.018	0
79	52508_139_S79_L001_R1_001	0.644	0.098	0
80	52508_143_S80_L001_R1_001	0.48	0.088	0.045
81	52508_145_S81_L001_R1_001	0.28	0.06	0
82	52508_149_S82_L001_R1_001	0.83	0.132	0.242
83	52508_156_S83_L001_R1_001	0.79	0.136	0.059
84	52508_157_S84_L001_R1_001	0.782	0.12	0.117
85	52508_158_S85_L001_R1_001	0.44	0.052	0.038
86	52508_167_S86_L001_R1_001	0.002	0	NA
87	52508_168_S87_L001_R1_001	0.126	0.026	0
88	52508_173_S88_L001_R1_001	0.654	0.098	0
89	52508_174_S89_L001_R1_001	0.884	0.122	0.311
90	52508_176_S90_L001_R1_001	0.628	0.084	0.024
91	52508_179_S91_L001_R1_001	0.368	0.05	0
92	52508_182_S92_L001_R1_001	0.232	0.058	0.069
93	52508_183_S93_L001_R1_001	0.632	0.09	0.044
94	52508_189_S94_L001_R1_001	0.544	0.08	0
95	52508_201_S95_L001_R1_001	0.116	0.014	0
