Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_022_S40_L001_R1_001	92623	26278	65666	679	0.28	0.71	0.01	0.144	0.024	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S137_L001_R1_001	47907	2411	41516	3980	0.05	0.87	0.08	0.134	0.016	0.125
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S41_L001_R1_001	75741	20599	54070	1072	0.27	0.71	0.01	0.184	0.032	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S138_L001_R1_001	35374	1809	28915	4650	0.05	0.82	0.13	0.228	0.046	0.13
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S42_L001_R1_001	77302	19990	56327	985	0.26	0.73	0.01	0.15	0.042	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_027_S139_L001_R1_001	43711	2219	34604	6888	0.05	0.79	0.16	0.294	0.05	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S140_L001_R1_001	45540	2368	37644	5528	0.05	0.83	0.12	0.24	0.03	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S44_L001_R1_001	100604	26565	71470	2569	0.26	0.71	0.03	0.384	0.05	0.04
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_033_S141_L001_R1_001	117689	5989	97361	14339	0.05	0.83	0.12	0.276	0.044	0.182
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_036_S142_L001_R1_001	39228	1770	27980	9478	0.05	0.71	0.24	0.338	0.066	0.182
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S143_L001_R1_001	61073	2894	52396	5783	0.05	0.86	0.09	0.14	0.018	0.111
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S47_L001_R1_001	79177	24487	52168	2522	0.31	0.66	0.03	0.258	0.04	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S144_L001_R1_001	49347	2484	41829	5034	0.05	0.85	0.1	0.206	0.032	0.062
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S48_L001_R1_001	80396	23179	54491	2726	0.29	0.68	0.03	0.46	0.068	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_043_S145_L001_R1_001	40160	2070	34094	3996	0.05	0.85	0.1	0.212	0.044	0.136
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S146_L001_R1_001	40272	2136	33404	4732	0.05	0.83	0.12	0.246	0.038	0.053
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S50_L001_R1_001	80517	25767	51924	2826	0.32	0.64	0.04	0.47	0.076	0.026
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S147_L001_R1_001	39164	2068	33935	3161	0.05	0.87	0.08	0.166	0.026	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S51_L001_R1_001	103567	33715	67518	2334	0.33	0.65	0.02	0.406	0.064	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_052_S148_L001_R1_001	79029	4197	59971	14861	0.05	0.76	0.19	0.434	0.062	0.097
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S149_L001_R1_001	36608	1819	32239	2550	0.05	0.88	0.07	0.162	0.03	0.2
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S53_L001_R1_001	94188	22476	69134	2578	0.24	0.73	0.03	0.374	0.046	0.043
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S150_L001_R1_001	54569	2827	46883	4859	0.05	0.86	0.09	0.19	0.028	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S54_L001_R1_001	79166	26230	50582	2354	0.33	0.64	0.03	0.412	0.064	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S151_L001_R1_001	70515	3491	63359	3665	0.05	0.9	0.05	0.13	0.012	0.333
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S55_L001_R1_001	80198	25844	52994	1360	0.32	0.66	0.02	0.248	0.042	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_065_S152_L001_R1_001	43389	2302	35223	5864	0.05	0.81	0.14	0.272	0.044	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_069_S153_L001_R1_001	63861	3185	49170	11506	0.05	0.77	0.18	0.334	0.056	0.071
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S154_L001_R1_001	38278	2005	32229	4044	0.05	0.84	0.11	0.196	0.034	0.235
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S58_L001_R1_001	71862	26659	41740	3463	0.37	0.58	0.05	0.52	0.098	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S155_L001_R1_001	104710	5200	88903	10607	0.05	0.85	0.1	0.268	0.036	0.056
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S59_L001_R1_001	100132	30387	64856	4889	0.3	0.65	0.05	0.568	0.08	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_079_S156_L001_R1_001	41355	1727	28737	10891	0.04	0.69	0.26	0.394	0.042	0.048
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S157_L001_R1_001	69742	3543	63141	3058	0.05	0.91	0.04	0.072	0.006	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S61_L001_R1_001	88575	28411	59475	689	0.32	0.67	0.01	0.116	0.018	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_087_S158_L001_R1_001	37763	1871	30711	5181	0.05	0.81	0.14	0.248	0.042	0.095
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_088_S159_L001_R1_001	60410	2511	41111	16788	0.04	0.68	0.28	0.39	0.074	0.081
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_090_S160_L001_R1_001	38732	1799	28590	8343	0.05	0.74	0.22	0.316	0.05	0.12
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S161_L001_R1_001	46550	2263	43144	1143	0.05	0.93	0.02	0.034	0.004	0.5
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S65_L001_R1_001	138956	34876	102042	2038	0.25	0.73	0.01	0.302	0.056	0.107
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S162_L001_R1_001	67132	3412	60927	2793	0.05	0.91	0.04	0.066	0.006	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S66_L001_R1_001	74400	23890	49554	956	0.32	0.67	0.01	0.206	0.032	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_105_S163_L001_R1_001	46532	2328	33967	10237	0.05	0.73	0.22	0.368	0.062	0.161
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_106_S164_L001_R1_001	45553	2282	36041	7230	0.05	0.79	0.16	0.314	0.054	0.111
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S165_L001_R1_001	61933	3167	55033	3733	0.05	0.89	0.06	0.104	0.016	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S69_L001_R1_001	59541	21288	37557	696	0.36	0.63	0.01	0.15	0.022	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S166_L001_R1_001	65858	3455	60473	1930	0.05	0.92	0.03	0.05	0.01	0.2
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S70_L001_R1_001	98700	31027	67228	445	0.31	0.68	0	0.092	0.022	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S167_L001_R1_001	61960	3300	53748	4912	0.05	0.87	0.08	0.186	0.024	0.083
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S71_L001_R1_001	79713	25583	51793	2337	0.32	0.65	0.03	0.404	0.068	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S168_L001_R1_001	29221	1449	26855	917	0.05	0.92	0.03	0.028	0.002	1
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S72_L001_R1_001	121005	30028	90310	667	0.25	0.75	0.01	0.122	0.018	0.111
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_119_S169_L001_R1_001	56731	2820	46612	7299	0.05	0.82	0.13	0.286	0.054	0.037
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_127_S170_L001_R1_001	42783	1698	27424	13661	0.04	0.64	0.32	0.44	0.076	0.053
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S171_L001_R1_001	39929	1934	34147	3848	0.05	0.86	0.1	0.164	0.024	0.083
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S75_L001_R1_001	129484	35762	88410	5312	0.28	0.68	0.04	0.486	0.08	0.025
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S172_L001_R1_001	51917	2808	41905	7204	0.05	0.81	0.14	0.294	0.05	0.12
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S76_L001_R1_001	115789	26219	84522	5048	0.23	0.73	0.04	0.54	0.084	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S173_L001_R1_001	48042	2584	41271	4187	0.05	0.86	0.09	0.196	0.024	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S77_L001_R1_001	70613	21149	47705	1759	0.3	0.68	0.02	0.292	0.046	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S174_L001_R1_001	35716	1790	32873	1053	0.05	0.92	0.03	0.034	0.006	0.333
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S78_L001_R1_001	62236	20918	41057	261	0.34	0.66	0	0.056	0.018	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S175_L001_R1_001	42924	2239	35903	4782	0.05	0.84	0.11	0.242	0.03	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S79_L001_R1_001	97800	26833	64835	6132	0.27	0.66	0.06	0.644	0.098	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S176_L001_R1_001	36631	1749	29186	5696	0.05	0.8	0.16	0.3	0.054	0.111
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S80_L001_R1_001	82750	17947	59697	5106	0.22	0.72	0.06	0.48	0.088	0.045
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_145_S81_L001_R1_001	10081	2337	6359	1385	0.23	0.63	0.14	0.28	0.06	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_149_S178_L001_R1_001	17563	762	11573	5228	0.04	0.66	0.3	0.32	0.05	0.04
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_156_S179_L001_R1_001	66122	3593	50006	12523	0.05	0.76	0.19	0.4	0.076	0.105
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_157_S180_L001_R1_001	194102	9442	149556	35104	0.05	0.77	0.18	0.436	0.052	0.192
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S181_L001_R1_001	71327	3633	60740	6954	0.05	0.85	0.1	0.212	0.03	0.2
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S85_L001_R1_001	92174	28707	60133	3334	0.31	0.65	0.04	0.44	0.052	0.038
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S182_L001_R1_001	57341	2612	51882	2847	0.05	0.9	0.05	0.022	0.002	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S86_L001_R1_001	96080	27875	68165	40	0.29	0.71	0	0.002	0	NA
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S183_L001_R1_001	48727	2384	44956	1387	0.05	0.92	0.03	0.052	0.01	0.2
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S87_L001_R1_001	65881	20782	44450	649	0.32	0.67	0.01	0.126	0.026	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S184_L001_R1_001	64079	3670	60386	23	0.06	0.94	0	0	0	NA
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S88_L001_R1_001	75678	20621	46396	8661	0.27	0.61	0.11	0.654	0.098	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_174_S185_L001_R1_001	49225	2190	35163	11872	0.04	0.71	0.24	0.374	0.048	0.25
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S186_L001_R1_001	40378	2101	30971	7306	0.05	0.77	0.18	0.302	0.042	0.095
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S90_L001_R1_001	56222	17017	32640	6565	0.3	0.58	0.12	0.628	0.084	0.024
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S187_L001_R1_001	59969	3047	52167	4755	0.05	0.87	0.08	0.202	0.026	0.231
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S91_L001_R1_001	69291	22245	44995	2051	0.32	0.65	0.03	0.368	0.05	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S188_L001_R1_001	121011	6076	106130	8805	0.05	0.88	0.07	0.2	0.042	0.095
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S92_L001_R1_001	62223	19754	41286	1183	0.32	0.66	0.02	0.232	0.058	0.069
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S189_L001_R1_001	45604	2382	35184	8038	0.05	0.77	0.18	0.32	0.056	0.107
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S93_L001_R1_001	68062	20155	41088	6819	0.3	0.6	0.1	0.632	0.09	0.044
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S190_L001_R1_001	73839	3965	56526	13348	0.05	0.77	0.18	0.396	0.056	0.143
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S94_L001_R1_001	57763	14899	38211	4653	0.26	0.66	0.08	0.544	0.08	0
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S191_L001_R1_001	95351	4859	87033	3459	0.05	0.91	0.04	0.072	0.01	0.6
E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S95_L001_R1_001	66523	20861	45139	523	0.31	0.68	0.01	0.116	0.014	0
